record_id,Hierarchy,Status,Name,Slug,Parent,Count,Description,Taxonomy,"Full hierarchy","Old Platform ID",View,Icon,"Listings Full Count","Custom Landing Page (optional)","Icon Option","Icon 2",Color,"Text Color","Seopress Redirections Type",Image,"Seopress Redirections Logged Status","Listing Type(s)"
3191,1,active,"Labor Relations Attorney",labor-relations-attorney,"Legal Services",44,,job_listing_category,"Legal Services > Labor Relations Attorney",,https://visita.co.za/category/labor-relations-attorney/,,"{""businesses-services"":44}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2024/07/Labor-relations-attorney.jpg?wpId=181268,both,"Businesses & Services, All Businesses & Spaces"
3176,1,active,"Law Firm",law-firm,"Legal Services",530,,job_listing_category,"Legal Services > Law Firm",,https://visita.co.za/category/law-firm/,https://visita.co.za/wp-content/uploads/2023/05/venb0ddegze.jpg?wpId=52952,"{""businesses-services"":530}",,image,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2024/06/Law-firm.jpg?wpId=180998,both,"Businesses & Services, All Businesses & Spaces"
3175,1,active,"Lawyers & Attorneys",lawyers-attorneys,"Legal Services",916,,job_listing_category,"Legal Services > Lawyers & Attorneys",,https://visita.co.za/category/lawyers-attorneys/,,"{""businesses-services"":1158}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2023/05/jku2nnezabi.jpg?wpId=52935,both,"Businesses & Services, All Businesses & Spaces"
3177,2,active,"Civil Law Attorney",civil-law-attorney,"Lawyers & Attorneys",105,,job_listing_category,"Legal Services > Lawyers & Attorneys > Civil Law Attorney",,https://visita.co.za/category/civil-law-attorney/,,"{""businesses-services"":105}",,icon,"fa fa-gavel",#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2023/05/shutterstock_581366638-750x5001-1.jpg?wpId=53115,both,"Businesses & Services, All Businesses & Spaces"
3198,2,active,"Criminal Justice Attorney",criminal-justice-attorney,"Lawyers & Attorneys",55,,job_listing_category,"Legal Services > Lawyers & Attorneys > Criminal Justice Attorney",,https://visita.co.za/category/criminal-justice-attorney/,,"{""businesses-services"":55}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2024/07/Criminal-justice-attorney.jpg?wpId=181160,both,"Businesses & Services, All Businesses & Spaces"
3174,2,active,"Divorce Lawyer",divorce-lawyer,"Lawyers & Attorneys",79,,job_listing_category,"Legal Services > Lawyers & Attorneys > Divorce Lawyer",,https://visita.co.za/category/divorce-lawyer/,https://visita.co.za/wp-content/uploads/2023/06/Divorce-Lawyer.png?wpId=56959,"{""businesses-services"":79}",,image,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2023/06/Divorce-Lawyer-Banner.png?wpId=56958,both,"Businesses & Services, All Businesses & Spaces"
3195,2,active,"Employment Attorney",employment-attorney,"Lawyers & Attorneys",26,,job_listing_category,"Legal Services > Lawyers & Attorneys > Employment Attorney",,https://visita.co.za/category/employment-attorney/,,"{""businesses-services"":26}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
3181,2,active,"Estate Planning Attorney",estate-planning-attorney,"Lawyers & Attorneys",55,,job_listing_category,"Legal Services > Lawyers & Attorneys > Estate Planning Attorney",,https://visita.co.za/category/estate-planning-attorney/,,"{""businesses-services"":55}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2024/07/Estate-planning-attorney.jpg?wpId=181188,both,"Businesses & Services, All Businesses & Spaces"
3173,2,active,"Family Law Attorney",family-law-attorney,"Lawyers & Attorneys",100,,job_listing_category,"Legal Services > Lawyers & Attorneys > Family Law Attorney",,https://visita.co.za/category/family-law-attorney/,,"{""businesses-services"":100}",,icon,"fa fa-gavel",#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2023/06/Family-Law-Attorney.png?wpId=56934,both,"Businesses & Services, All Businesses & Spaces"
3197,2,active,"General Practice Attorney",general-practice-attorney,"Lawyers & Attorneys",83,,job_listing_category,"Legal Services > Lawyers & Attorneys > General Practice Attorney",,https://visita.co.za/category/general-practice-attorney/,https://visita.co.za/wp-content/uploads/2023/06/general-practice-attorney.png?wpId=56951,"{""businesses-services"":83}",,image,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2024/07/General-practice-attorney.jpg?wpId=181222,both,"Businesses & Services, All Businesses & Spaces"
3182,2,active,"Immigration Attorney",immigration-attorney,"Lawyers & Attorneys",20,,job_listing_category,"Legal Services > Lawyers & Attorneys > Immigration Attorney",,https://visita.co.za/category/immigration-attorney/,,"{""businesses-services"":20}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
3183,2,active,"Insurance Attorney",insurance-attorney,"Lawyers & Attorneys",15,,job_listing_category,"Legal Services > Lawyers & Attorneys > Insurance Attorney",,https://visita.co.za/category/insurance-attorney/,,"{""businesses-services"":15}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
