record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
1048,Martial Arts School,martial-arts-school,,Sports Clubs & Organisations > Martial Arts School,,https://visita.co.za/wp-content/uploads/2023/05/ngd2uo1eyzg.jpg?wpId=52989,13148,Businesses & Services
1050,Boxing Club,boxing-club,,Sports Clubs & Organisations > Martial Arts School > Boxing Club,,,1048,Businesses & Services
1029,Boxing Gym,boxing-gym,,Sports Clubs & Organisations > Martial Arts School > Boxing Gym,,https://visita.co.za/wp-content/uploads/2024/07/Boxing-gym.jpg?wpId=181102,1048,Businesses & Services
5008,Judo Club,judo-club,,Sports Clubs & Organisations > Martial Arts School > Judo Club,,,1048,Businesses & Services
1073,Jujitsu School,jujitsu-school,,Sports Clubs & Organisations > Martial Arts School > Jujitsu School,,,1048,Businesses & Services
1042,Karate Club,karate-club,,Sports Clubs & Organisations > Martial Arts School > Karate Club,,https://visita.co.za/wp-content/uploads/2024/07/Karate-club.jpg?wpId=181264,1048,Businesses & Services
1061,Karate School,karate-school,,Sports Clubs & Organisations > Martial Arts School > Karate School,,https://visita.co.za/wp-content/uploads/2023/05/xl-ilwbkjnk.jpg?wpId=53088,1048,Businesses & Services
1051,Kickboxing School,kickboxing-school,,Sports Clubs & Organisations > Martial Arts School > Kickboxing School,,https://visita.co.za/wp-content/uploads/2024/07/Kickboxing-school.jpg?wpId=181265,1048,Businesses & Services
1057,Kung Fu School,kung-fu-school,,Sports Clubs & Organisations > Martial Arts School > Kung Fu School,,,1048,Businesses & Services
1062,Martial Arts Club,martial-arts-club,,Sports Clubs & Organisations > Martial Arts School > Martial Arts Club,,https://visita.co.za/wp-content/uploads/2024/07/Martial-arts-club.jpg?wpId=181286,1048,Businesses & Services
1052,Muay Thai Boxing Gym,muay-thai-boxing-gym,,Sports Clubs & Organisations > Martial Arts School > Muay Thai Boxing Gym,,,1048,Businesses & Services
1638,Taekwondo School,taekwondo-school,,Sports Clubs & Organisations > Martial Arts School > Taekwondo School,,,1048,Businesses & Services
1637,Wrestling School,wrestling-school,,Sports Clubs & Organisations > Martial Arts School > Wrestling School,,,1048,Businesses & Services
6357,Rugby Club,rugby-club,,Sports Clubs & Organisations > Rugby Club,,,13148,Businesses & Services
5519,Soccer Club,soccer-club,,Sports Clubs & Organisations > Soccer Club,,,13148,Businesses & Services
471,Sports Club,sports-club,,Sports Clubs & Organisations > Sports Club,,https://visita.co.za/wp-content/uploads/2024/07/Sports-club.jpg?wpId=181404,13148,Businesses & Services
6307,Squash Club,squash-club,,Sports Clubs & Organisations > Squash Club,,,13148,Businesses & Services
5855,Swim Club,swim-club,,Sports Clubs & Organisations > Swim Club,,,13148,Businesses & Services
6047,Tennis Club,tennis-club,,Sports Clubs & Organisations > Tennis Club,,,13148,Businesses & Services
5089,Yacht Club,yacht-club,,Sports Clubs & Organisations > Yacht Club,,,13148,Businesses & Services
17874,Sports complex,sports-complex-2,,Sports complex,,,0,Businesses & Services
13152,Sports Equipment & Supplies,sports-equipment-supplies,,Sports Equipment & Supplies,,,0,Businesses & Services
5023,Fitness Equipment Wholesaler,fitness-equipment-wholesaler,,Sports Equipment & Supplies > Fitness Equipment Wholesaler,,,13152,Businesses & Services
5497,Sports Accessories Wholesaler,sports-accessories-wholesaler,,Sports Equipment & Supplies > Sports Accessories Wholesaler,,,13152,Businesses & Services
13157,Sports Equipment Store,sports-equipment-store,,Sports Equipment & Supplies > Sports Equipment Store,,,13152,Businesses & Services
6311,Sports Equipment Rental Service,sports-equipment-rental-service,,Sports Equipment Rental Service,,,0,Businesses & Services
13149,Sports Facilities,sports-facilities,,Sports Facilities,,,0,Businesses & Services
1984,Golf Course,golf-course,,Sports Facilities > Golf Course,,https://visita.co.za/wp-content/uploads/2024/07/Golf-course.jpg?wpId=181224,13149,Businesses & Services
